Timestamp,Gender,Age range,Educational Qualification ,Occupation,Marital status,Your individual aggregate monthly income,how often do you buy readyto ,Which type of brand do you purchase from?,Source of information on recent ready-to-wear or clothing apparels?,When last did you buy a ready-to-wear clothing?,"If ready-to-wear were a person, which of the following adjectives do you feel would best describe your most preferred brand personality?",What kind of outfits do you usually prefer?,What influences you the most when you buy clothes?,MONTHLY BUDGET,CATEGORY OF BUDGET
2021/08/27 10:07:01 am CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Unemployed,Single,"100,000",Once in 3 months,Domestic,Friends and family;Social media,Less than 1 month ago,Elegant,Couture/High-end (local),Fashion/style;Trend;Wearability,"20,000",LOW PRICE
2021/08/27 10:13:58 am CET,Male,31 - 35 years,Masters,Civil servant,Single,"200,000",Once in 6 months,Domestic,Friends and family,Between 1 and 6 months,Classy,Casual (local brands),Occasion,"100,000", HIGH PRICE
2021/08/27 10:18:16 am CET,Female,26 - 30 years,Masters,Employed (private or non-profit sector),Single,"400,000",Rarely,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Upper class;Classy;Elegant;Sophisticated,Casual (International),Fashion/style;Prices;Wearability;Occasion,"20,000",LOW PRICE
2021/08/27 10:44:14 am CET,Female,20 - 25 years,Secondary,Unemployed,Married,"10,000",Rarely,Both (Domestic and International),Friends and family;Social media,More than 1 year ago,Classy,Casual (local brands),Prices,"20,000",LOW PRICE
2021/08/27 10:59:39 am CET,Male,26 - 30 years,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Married,"500,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Elegant,Casual (International),Occasion,"100,000", HIGH PRICE
2021/08/27 10:59:46 am CET,Female,26 - 30 years,Masters,Civil servant,Single,"200,000",Spontaneous,Both (Domestic and International),Social media,Between 1 and 6 months,Sophisticated,Bespoke,Fashion/style,"20,000",LOW PRICE
2021/08/27 10:59:56 am CET,Male,26 - 30 years,Masters,Self-employed/Entrepreneur,Single,"100,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Cheerful;Classy;Elegant,Afrocentric casual (local),Fashion/style,"20,000",LOW PRICE
2021/08/27 11:10:55 am CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelor's)",Self-employed/Entrepreneur,Married,"100,000",Spontaneous;On special occasions,Both (Domestic and International),Friends and family;Social media,More than 1 year ago,Honest;Cheerful;Colorful;Imaginative;Classy,Option 7,Prices,"20,000",LOW PRICE
2021/08/27 11:22:04 am CET,Male,31 - 35 years,"Tertiary (NCE, HND, Bachelor's)",Self-employed/Entrepreneur,Married,"200,000",Once in 6 months,Both (Domestic and International),Social media,Between 6 months and 1 year,Honest,Afrocentric casual (local),Fashion/style,"100,000", HIGH PRICE
2021/08/27 11:37:21 am CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Student,Married,20000,Rarely,Domestic,Social media,Less than 1 month ago,Elegant,Casual (International),Fashion/style;Trend;Wearability;Occasion,"20,000",LOW PRICE
